Property Name,Property Type,Description,Price,Bedrooms,Baths,Toilets,Location,City,State,Country,Images,Furnished,Features,URL
5 Bedroom Terrace Duplex In An Elite Estate,Terrace Duplex,"5 bedroom House for sale By Coza Church Guzape Abuja selling for ₦1,500,000,000.",1500000000,5,5,6,By Coza Church Guzape Abuja,Guzape,Abuja,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-WqCKb2nz5Ue18IRdiT0Y.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-qnbjtSfoW4rt8X0EMoz3.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-1nj9pQjR1AQj6mp5zY6y.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-xKSCXSwErnMOWA0sUomJ.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-iFbgHziCuafsATK0OFQb.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-SJHTPkRj9enkW3ZE3cBZ.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-ZVbyjMWHowDi3ig7pXJS.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-4leJbHnb5BTFYMqnPnUF.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-sxKZEfoP2hcDvQCVgpt7.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-f8ErT1DKrKJNtPb1kPXr.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-uhaQp9STyok4yQU8Ypo6.jpg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-in-an-elite-estate-L8P3h4OY2N3ufgncuVNC.jpg""]",Fully Furnished,"[""Swimming Pool"", ""24 Hours Security"", ""Front Desk Service"", ""Big Compound"", ""Children Play Ground"", ""24 hours Electricity"", ""All Room Ensuit"", ""POP Ceiling"", ""CCTV Cameras"", ""Boys Quater"", ""Fast Internet""]",https://propertypro.ng/property/5-bedroom-house-for-sale-by-coza-church-guzape-abuja-6PBFE
Newly Built Premium 4 Bedroom Terraced Duplexes,Duplex,"4 bedroom House for sale Gaduwa Abuja selling for ₦240,000,000.",240000000,4,4,5,Gaduwa Abuja,Gaduwa,Abuja,Nigeria,"[""https://images.propertypro.ng/large/93GrU-newly-built-premium-4-bedroom-terraced-duplexes-8ojh0okk0EgniEU819qZ.jpeg"", ""https://images.propertypro.ng/large/SltzA-newly-built-premium-4-bedroom-terraced-duplexes-e322wsZmHBBiTgGz270P.jpeg"", ""https://images.propertypro.ng/large/u8tHW-newly-built-premium-4-bedroom-terraced-duplexes-1A9kFT8beP4UgmUj0XSC.jpeg"", ""https://images.propertypro.ng/large/newly-built-premium-4-bedroom-terraced-duplexes-VRAtQMTzzpd65DXvpwd8.jpeg"", ""https://images.propertypro.ng/large/newly-built-premium-4-bedroom-terraced-duplexes-sWG2lEQm2eF2tukFtgoc.jpeg"", ""https://images.propertypro.ng/large/FR6pI-newly-built-premium-4-bedroom-terraced-duplexes-dm5fgPCSy3ziOdbkEBvU.jpeg"", ""https://images.propertypro.ng/large/newly-built-premium-4-bedroom-terraced-duplexes-DmZGgpRdN0lo3zDrLu3k.jpeg"", ""https://images.propertypro.ng/large/newly-built-premium-4-bedroom-terraced-duplexes-MJ8P2GR3LaXkhO0XXkfD.jpeg"", ""https://images.propertypro.ng/large/newly-built-premium-4-bedroom-terraced-duplexes-mPYWSXCrHWjyaGtFvRMB.jpeg"", ""https://images.propertypro.ng/large/newly-built-premium-4-bedroom-terraced-duplexes-r9cPGBTiguN2m30hBW7h.jpeg"", ""https://images.propertypro.ng/large/newly-built-premium-4-bedroom-terraced-duplexes-xBIiSmgjmIdzcxNymFG8.jpeg"", ""https://images.propertypro.ng/large/newly-built-premium-4-bedroom-terraced-duplexes-xjaaCDJOmFWeSF5dDd0v.jpeg""]",Fully Furnished,"[""Big Compound"", ""All Room Ensuit"", ""POP Ceiling"", ""Parking Space"", ""C of O"", ""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-gaduwa-abuja-8PAKD
A Contemporary 4 Bed Terrace Duplex,Terrace Duplex,"4 bedroom House for sale Lekki Phase 1 Lekki Lagos selling for ₦650,000,000.",650000000,4,4,5,Lekki Phase 1 Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-23gQL9tUMgCxUtqwzMup.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-N5C97u9wLXdF7Pj4xpae.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-BNNutkUF29QOiGenPdF0.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-fl9w8ejVTWxpNYXgAkGn.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-p9PFDvm7moReZrwpwuAr.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-OXMiF2CwWriwiTDlRlQE.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-Gj2kRcmneKjpQqCpTwNq.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-YINlnUUFyQJxu55LZf1i.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-O2clbvgYEgotJZb3sTEg.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-jXbCuEMAdReOSDBX4ZFa.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-qojSy4kiKv2RxW8FMYfO.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-IhApDWSIBLgtK2XnWEKp.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-hoYFyax1DL2LRwPKiqee.jpeg"", ""https://images.propertypro.ng/large/a-contemporary-collection-of-3-amp-4-bed-terrace-duplex-SYIasDxRqpaH01kHUfS4.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-3PCDF
7bed Detached+bq,Other,"7 bedroom House for sale Ikeja GRA Ikeja Lagos selling for ₦1,800,000,000.",1800000000,7,8,8,Ikeja Gra Ikeja Lagos,Ikeja,Lagos,Nigeria,"[""https://images.propertypro.ng/large/6bed-detachedbq-JIOI2aBmFRoYo0K8xYle.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-icsl8J5Q4kJRVRcvetI4.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-s1uDDi5EuAWjyYZf6KSC.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-7byj0ee0gUMYMeTmb1X5.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-8pvzPxVO44y5B1Bf1s3E.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-J3LUTP7I7erGnQ8qJNxm.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-fZkxMBM8dOPbgycGBoGr.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-3Z1FwYCIedyKFwLsX7V9.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-jKKPig0ixkMyyH5SjZMU.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-4cz1xAyJ95uA6iQA0Qvl.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-DZyC4fQIDH9vE6qxj8Zd.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-2vSpcPWTMHuFtjYd4dy5.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-tmDZs1COUiQ7GQhddKss.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-DLJjLBwn8S1NThxtwlZy.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-CCslqoPTajuYdZif7NLf.jpg"", ""https://images.propertypro.ng/large/6bed-detachedbq-qGF09PMj1nWtIMa3UmPz.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-syT7NZpuYg606Xpr13qj.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-nZIH4uwF1lAAainpP8Yt.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-B4CEpj2r6KdTozKBFrqC.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-UqD8kKoQLfadgykfxp5n.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-nVViOfjGR4WQSe7k7G40.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-kyyviKO3mXbmxyjvAZnx.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-dYNGRHrfa5p6vFslH0xm.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-z3YhVZZQezSuwSgy5ZsO.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-Zk7FujUbWO09LlJiv6I6.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-K47r0MgGLS3MKAvbKP7c.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-w13JQ6wGtwPqAw7WLSUX.jpg"", ""https://images.propertypro.ng/large/7bed-detachedbq-au7jlVfQQi1y8F0hRAoY.jpg""]",Fully Furnished,"[""Street Lights"", ""Swimming Pool"", ""Big Compound"", ""24 Hours Security"", ""All Room Ensuit"", ""24 hours Electricity"", ""Jacuzzi"", ""Drainage System"", ""CCTV Cameras"", ""Parking Space"", ""Water Treatment"", ""POP Ceiling"", ""C of O"", ""Security"", ""Security doors"", ""Boys Quater""]",https://propertypro.ng/property/7-bedroom-house-for-sale-ikeja-gra-ikeja-lagos-2NZAC
Newly Built 4 Bedroom Detached For Sale,Other,"4 bedroom House for sale Ikate Lekki Lagos selling for ₦420,000,000.",420000000,4,4,5,Ikate Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-i1iPEWYjAT01lGhTeXSC.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-uT2dVS7Y9HoKZMm2eDeu.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-Ac25ORBKx3zY4Kle57aH.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-0erL5G47JcRPENdZ4T4N.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-AlBRV3Z3PW4e56cLrurD.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-wRkpcxs0cXFmrYj8EVnV.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-s6EItfYpx2c5PlJzmO5q.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-5FmAfHFACCXs0LHaryZV.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-EoMJE8jkjvsvZ25j35QC.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-ux0G371ENcr01j1Ga8ib.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-CgwTRYURPeABN29SFvx2.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-b6gYcQC2hdAVEoLlN6wW.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-MpGzr0P3DELBK9NVVUTU.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-YRfk6VAeD8xhfk314HSa.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-2DYkU61SzUxakpUwW4hN.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-m77Yyu1MGYZxdCtewViL.jpg"", ""https://images.propertypro.ng/large/newly-built-4-bedroom-detached-for-sale-HDR0jrbWWuXZGGfmfik4.jpg""]",Fully Furnished,[],https://propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-2NZGL
Newly Built 5 Bedroom Terrace Duplex,Terrace Duplex,"5 bedroom House for sale Jahi Abuja selling for ₦550,000,000.",550000000,5,5,6,Jahi Abuja,Jahi,Abuja,Nigeria,"[""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-hAnZuAb5rizoBojqDuHT.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-M5J6yR1L8RCRoKlJVhxp.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-3xtycR89WtDkVXgbG8SZ.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-R39bS1mkXwCU0v6NNWjI.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-eEDrur3bDK4wRUBBy8yQ.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-FLhQjNQyrsN3Kqx3ryRt.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-uWNeWft63dnVcLKUDK8R.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-5wa2xqKne2yYju5dz3uX.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-gWDRkpv6s50U4eJzDmul.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-uZ51dpstX89UTUFWStFX.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-7dKGWeEDUQObtdVdcFK7.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-OllN3UxIffArPfBQPQsG.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-QXLLkg96GcEBlvNPcEtn.jpg"", ""https://images.propertypro.ng/large/newly-built-5-bedroom-terrace-duplex-with-bq-RhlSrsEhoztVMLK0QE9r.jpg""]",Fully Furnished,"[""24 Hours Security"", ""Front Desk Service"", ""All Room Ensuit"", ""24 hours Electricity"", ""Drainage System"", ""POP Ceiling"", ""Parking Space"", ""Water Treatment"", ""Security"", ""Security doors"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-jahi-abuja-7NZYQ
5bed Detached+bq..,Other,"5 bedroom House for sale Adeniyi Jones Ikeja Lagos selling for ₦650,000,000.",650000000,5,6,6,Adeniyi Jones Ikeja Lagos,Ikeja,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5bed-detachedbq-GISGaVKe0mJDfyyan9Hb.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-2fvxpvpoob5amtqF1Tsu.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-EisKgd9XPoTCSlSOfoO7.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-sqJAVweQreIS9oKhEI6P.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-OjF7eS2D719K7vUEQQrU.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-4fyx8n7xKsAelaOL3VDH.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-BN2Guyyy91OHhvBDueTn.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-YAnaKdED7JdGDw27Cj0V.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-1TvizaAjSXPLJ6R6y5CQ.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-tAEv8Fj7o7ROAh2LC8LH.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-b0JQjQ9zPYHOcVksHT1G.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-Rr5QoBs2dxZWKzwaS8GN.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-wGNtHuKaZ4RDM2Y58fSC.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-bSWn6OrpXhgoqEXd1y8a.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-xsY2mMotdzFC3NzoDWcP.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-VTCHUaQ3M40rWcNTOhu1.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-ReipvqY1JqjulISX1Hjj.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-C9dTCstK2yCF0PFWUP67.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-bqyFaf6Fw6LE7TV3PvHP.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-02FP4rLlOXQBfDFVXRiP.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-MiuWbo3EWCdiUymZ4HtO.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-mxjsqaDYosoXni6aav5p.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-0vr9MUfHPmWQ5UXWMNxS.jpg""]",Fully Furnished,"[""Street Lights"", ""Big Compound"", ""24 Hours Security"", ""24 hours Electricity"", ""POP Ceiling"", ""Jacuzzi"", ""Drainage System"", ""CCTV Cameras"", ""Parking Space"", ""Water Treatment"", ""Security"", ""Boys Quater"", ""Security doors""]",https://propertypro.ng/property/5-bedroom-house-for-sale-adeniyi-jones-ikeja-lagos-1NYPH
Newly Built Carcass 4 Bedroom Terraced Duplex,Duplex,"4 bedroom House for sale Brains And Hammers City Life Camp Abuja selling for ₦65,000,000.",65000000,4,4,3,Brains And Hammers City Life Camp Abuja,Camp,Abuja,Nigeria,"[""https://images.propertypro.ng/large/iIuIL-newly-built-carcass-4-bedroom-terraced-duplex-KbeogA2AdpvhbkUwJ1P6.jpeg"", ""https://images.propertypro.ng/large/6kDlZ-newly-built-carcass-4-bedroom-terraced-duplex-LCvUwFLwaDF1bw9W4Plx.jpeg"", ""https://images.propertypro.ng/large/zNBoK-newly-built-carcass-4-bedroom-terraced-duplex-xrAhLfyNqjLVVynZdHl1.jpeg"", ""https://images.propertypro.ng/large/ZGKHA-newly-built-carcass-4-bedroom-terraced-duplex-blxsnBLoRDagEuBNOTyw.jpeg"", ""https://images.propertypro.ng/large/2vq02-newly-built-carcass-4-bedroom-terraced-duplex-sDcbf2qLs2sBuE1CSqUB.jpeg"", ""https://images.propertypro.ng/large/beiVW-newly-built-carcass-4-bedroom-terraced-duplex-av4JauEHhn0Yy6hZjcUT.jpeg"", ""https://images.propertypro.ng/large/AYQfo-newly-built-carcass-4-bedroom-terraced-duplex-KN13GXvojCyPLRY8tTMZ.jpeg"", ""https://images.propertypro.ng/large/BYh5Y-newly-built-carcass-4-bedroom-terraced-duplex-JIVEYono3qj0dX6w9oPz.jpeg"", ""https://images.propertypro.ng/large/newly-built-carcass-4-bedroom-terraced-duplex-SpmkgOR9zgQqku5g1CJ7.jpeg"", ""https://images.propertypro.ng/large/newly-built-carcass-4-bedroom-terraced-duplex-laDbm45hNNsJWUy36TEy.jpeg"", ""https://images.propertypro.ng/large/8gYSK-newly-built-carcass-4-bedroom-terraced-duplex-t4Nj4N6gLHHzdUNCQxJT.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/4-bedroom-house-for-sale-brains-and-hammers-city-life-camp-abuja-8PBCW
4 Bedroom Terrace Duplex &1 Bq For Sale At Gwarimpa,Terrace Duplex,"4 bedroom House for sale Gwarinpa Abuja selling for ₦210,000,000.",210000000,4,4,5,Gwarinpa Abuja,Gwarinpa,Abuja,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-terrace-amp-1bq-for-sale-at-gwarimpa-F0NvY3rTFGpgi0sUD2rZ.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-amp-1bq-for-sale-at-gwarimpa-Is5mm5LDMKVPpTqoRyV8.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-amp-1bq-for-sale-at-gwarimpa-m772G05uvAJ86nnaKox6.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-amp-1bq-for-sale-at-gwarimpa-l0XNHo73pgfxiJUspaJ1.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-amp-1bq-for-sale-at-gwarimpa-n9BYfhtXVjEQu9PDPVOv.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-amp-1bq-for-sale-at-gwarimpa-16La59SgeOFgxp9wKmRm.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-amp-1bq-for-sale-at-gwarimpa-XasKitZRCkAdtRqhbx72.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-amp-1bq-for-sale-at-gwarimpa-a169JZMab1I7RIYTFZ5u.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-amp-1bq-for-sale-at-gwarimpa-BGaVGmTaKCs8qwHchajw.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-amp-1bq-for-sale-at-gwarimpa-XtMEAyAHqWkvWis3gfya.jpeg""]",Fully Furnished,"[""Street Lights"", ""Security doors"", ""Big Compound"", ""24 Hours Security"", ""Governor's Consent"", ""Restaurants Nearby"", ""All Room Ensuit"", ""Gym"", ""24 hours Electricity"", ""Drainage System"", ""Church Nearby"", ""Parking Space"", ""Free WiFi"", ""Printing Service"", ""POP Ceiling"", ""Supermarket Nearby"", ""Security"", ""Mosques Nearby"", ""Boys Quater"", ""Fast Internet""]",https://propertypro.ng/property/4-bedroom-house-for-sale-gwarinpa-abuja-5NLUT
Contemporary Luxury 5 Bedroom Detached Duplex With Bq,Detached Duplex,"5 bedroom House for sale Lekki Phase 1 Lekki Lagos selling for ₦1,200,000,000.",1200000000,5,5,6,Lekki Phase 1 Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-5tFcMw85m5RUzA1Nlx1w.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-aTyziwrLLjvOtxBi7zTh.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-jWy1LmaHdvreIUtlMeli.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-n0UKJfkADnDwGjqk6LT7.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-UOhde4jrbXaRBxS8mo24.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-SeJPdUZp1Wvh6UziEBmi.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-P4AYhTYWGYG19qbZe6bB.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-7NEVpaNtvnNpBlfp1jMR.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-hBl6qS0fAP1FusLAw2Q5.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-zKcE89dbo55qKk3SRrBx.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-mOyhXXk3Aff5TbeMdcwB.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-oGl5YYu6xjsOJv0crdt9.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-g0jUvyQ0pJPJoNqskx6w.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-RT47BQu2HAcIuEijYh9S.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-ACTmByVTLzHJYpfQzVSl.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-CixIIyECFaq3P8gmfgIy.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-tvy63kkEXkrnZtfoKdo4.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-QAFQXvwzl1d34QKLloP8.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-vpi3iQxq01J1n0loIcYj.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-oMB5mVhB1eO0C2puxpVv.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-W6Ecd6ASAa9ulO90c8Pw.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-U27Yjnnf5jffOTr8Mx4L.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-yhojHeuC6X1mxFJoLABt.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-CeXW2J01VvK3QJdaL5AY.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-qCAcuoMDUTAy9Hyd8RPI.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-Y1HuXRMCwwLDKcS2c0fC.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-7N5k8GDrrYtE68QlR40z.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-BlGYJNmp1HUmRpSMpqi1.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-M0pEVvmIEvlVPrlBIWQs.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-4rfGhexIcwVh0S1F3uhs.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-bawF10bGd3k0AY088dnh.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-mcV3W0WljHvHTwg83OJL.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-ayTO2rh6VhDpFcfJ9F1b.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-r9ngqJ8xoFBsAZAc9N71.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-AdR6D3LSXbysNEm1ozf4.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-5nVmryeIjy6PVy1B4QNr.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-fI5w9KKfzg3jMbmKLiqp.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-SCvhklo0kA5IStewG4VE.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-SHGBl3bB9xbdRrmnWs9F.jpg"", ""https://images.propertypro.ng/large/contemporary-luxury-5-bedroom-detached-duplex-with-bq-zIMCEfrTzscW1oDnBL3H.jpg""]",Fully Furnished,"[""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-6PAKF
